Model,monitor,core,cpu,gpu,ram,hdd,"price (13"")","price (15"")",sz_pr_diff,
M1,13,,8,7,8,256,1199,,,
M1,13,,8,7,8,512,1429,,,
M1,13,,8,7,16,512,1659,,,
M1,13,,8,7,16,1024,1889,,,
M1,13,,8,7,16,2048,2349,,,
,,,,,,,,,,
M2,13,,8,8,8,256,1299,1599,300,100.00%
M2,13,,8,8,8,512,1529,1829,300,100.00%
M2,13,,8,8,16,512,1759,2059,300,100.00%
M2,13,,8,8,16,1024,1989,2289,300,100.00%
M2,13,,8,8,24,512,1989,2289,300,100.00%
M2,13,,8,8,24,1024,2219,2519,300,100.00%
M2,13,,8,8,24,2048,2679,2979,300,100.00%
,,,,,,std,0.00,avg,300,
,,,,,,,"price (14"")","price (16"")",sz_pr_diff,
M3,14,,8,10,8,512,1999,,,
M3,14,,8,10,8,1024,2229,,,
M3,14,,8,10,16,512,2229,,,
M3,14,,8,10,16,1024,2459,,,
M3,14,,8,10,16,2048,2919,,,
M3,14,,8,10,24,512,2459,,,
M3,14,,8,10,24,1024,2689,,,
M3,14,,8,10,24,2048,3149,,,
,,,,,,,,,,
M3 pro,14,,11,14,18,512,2499,,,
M3 pro,14,,11,14,36,1024,3189,,,
M3 pro,14,,12,18,18,1024,2999,3229,230,87.23%
M3 pro,14,,12,18,36,1024,3459,3689,230,87.23%
M3 pro,14,,14,30,36,1024,3999,4249,250,94.82%
M3 pro,14,,14,30,96,1024,4919,5169,250,94.82%
M3 pro,14,,14,30,96,2048,5379,5629,250,94.82%
M3 pro,14,,16,40,48,1024,4579,4849,270,102.40%
M3 pro,14,,16,40,48,2048,5034,5309,275,104.30%
M3 pro,14,,16,40,64,1024,4804,5079,275,104.30%
M3 pro,14,,16,40,64,2048,5264,5539,275,104.30%
M3 pro,14,,16,40,64,4096,5954,6229,275,104.30%
M3 pro,14,,16,40,64,8192,7334,7609,275,104.30%
M3 pro,14,,16,40,128,1024,5724,5999,275,104.30%
M3 pro,14,,16,40,128,2048,6184,6459,275,104.30%
M3 pro,14,,16,40,128,4096,6874,7149,275,104.30%
M3 pro,14,,16,40,128,8192,8254,8529,275,104.30%
,,,,,,std,16.95,avg,263.6666667,
M3 max,14,,14,30,36,1024,3999,4249,250,101.85%
M3 max,14,,14,30,96,1024,4919,5169,250,101.85%
M3 max,14,,14,30,96,2048,5379,5629,250,101.85%
M3 max,14,,14,30,96,4096,6069,6319,250,101.85%
M3 max,14,,14,30,96,8192,7449,7699,250,101.85%
M3 max,14,,16,40,48,1024,4574,4849,275,112.04%
M3 max,14,,16,40,64,1024,4804,5079,275,112.04%
M3 max,14,,16,40,64,2048,5264,5339,75,30.56%
M3 max,14,,16,40,64,4096,5954,6229,275,112.04%
M3 max,14,,16,40,128,4096,6874,7149,275,112.04%
M3 max,14,,16,40,128,8192,8254,8529,275,112.04%
,,,,,,std,57.89881456,AVG,245.4545455,